Kanji,Pronunciation
責める,"['せ', 'め', 'る']"
悪魔,"['あく', 'ま']"
思い付く,"['おも', 'い', 'つ', 'く']"
上京,"['じょう', 'きょう']"
兎角,"['と', 'かく']"
坊さん,"['ぼう', 'さ', 'ん']"
量,['りょう']
差し支える,"['さ', 'し', 'つか', 'え', 'る']"
後悔,"['こう', 'かい']"
逸れる,"['そ', 'れ', 'る']"
神,['かみ']
本物,"['ほん', 'もの']"
終わり,"['お', 'わ', 'り']"
喉,['のど']
委託,"['い', 'たく']"
読み,"['よ', 'み']"
系統,"['けい', 'とう']"
何と,"['なん', 'と']"
咳,['せき']
浮く,"['う', 'く']"
悩み,"['なや', 'み']"
共働き,"['とも', 'ばたら', 'き']"
硬貨,"['こう', 'か']"
慌てる,"['あわ', 'て', 'る']"
彫刻,"['ちょう', 'こく']"
再発,"['さい', 'はつ']"
意義,"['い', 'ぎ']"
頂,['いただき']
瓶詰,"['びん', 'づめ']"
壁,['かべ']
美容,"['び', 'よう']"
貸間,"['かし', 'ま']"
浴室,"['よく', 'しつ']"
九日,"['ここの', 'か']"
出掛ける,"['で', 'か', 'け', 'る']"
強烈,"['きょう', 'れつ']"
勢い,"['いきお', 'い']"
機械,"['き', 'かい']"
畜産,"['ちく', 'さん']"
日付,"['ひ', 'づけ']"
塩,['しお']
宝器,"['ほう', 'き']"
平等,"['びょう', 'どう']"
跡継ぎ,"['あと', 'つ', 'ぎ']"
作物,"['さく', 'もつ']"
仏,['ほとけ']
空気,"['くう', 'き']"
形容詞,"['けい', 'よう', 'し']"
為,['ため']
放り込む,"['ほう', 'り', 'こ', 'む']"
出来事,"['で', 'き', 'ごと']"
出合う,"['で', 'あ', 'う']"
八,['はち']
預かる,"['あず', 'か', 'る']"
着々,"['ちゃく', 'ちゃく']"
貸家,"['かし', 'や']"
大事,"['だい', 'じ']"
狙う,"['ねら', 'う']"
疑惑,"['ぎ', 'わく']"
兎,['うさぎ']
激励,"['げき', 'れい']"
育てる,"['そだ', 'て', 'る']"
受取,"['うけ', 'とり']"
引き取る,"['ひ', 'き', 'と', 'る']"
小屋,"['こ', 'や']"
快晴,"['かい', 'せい']"
催し,"['もよお', 'し']"
台風,"['たい', 'ふう']"
